id,type,en,tr,tr_nodia,chars_en,chars_tr,length_bin_tr
24,Haber,Scientists have discovered a new species of deep-sea fish.,Bilim insanları yeni bir derin deniz balığı türü keşfetti.,Bilim insanları yeni bir derin deniz balıgı turu kesfetti.,58,58,medium
25,Haber,The new environmental policy will take effect starting next month.,Yeni çevre politikası önümüzdeki aydan itibaren yürürlüğe girecek.,Yeni cevre politikası onumuzdeki aydan itibaren yururluge girecek.,66,66,medium
26,Haber,The art exhibition was attended by critics and enthusiasts alike.,Sanat sergisine eleştirmenler ve meraklılar bir arada katıldı.,Sanat sergisine elestirmenler ve meraklılar bir arada katıldı.,65,62,medium
27,Haber,The election results are expected to be announced by midnight.,Seçim sonuçlarının gece yarısına kadar açıklanması bekleniyor.,Secim sonuclarının gece yarısına kadar acıklanması bekleniyor.,62,62,medium
28,Haber,A major technological breakthrough could change the industry forever.,"Büyük bir teknolojik atılım, sektörü sonsuza dek değiştirebilir.","Buyuk bir teknolojik atılım, sektoru sonsuza dek degistirebilir.",69,64,medium
29,Haber,The government has issued a travel warning for the region.,"Hükümet, bölge için bir seyahat uyarısı yayınladı.","Hukumet, bolge icin bir seyahat uyarısı yayınladı.",58,50,medium
30,Haber,Stock prices surged following the positive economic report.,Olumlu ekonomik raporun ardından hisse senedi fiyatları fırladı.,Olumlu ekonomik raporun ardından hisse senedi fiyatları fırladı.,59,64,medium
31,Atasözü,A rolling stone gathers no moss.,Yuvarlanan taş yosun tutmaz.,Yuvarlanan tas yosun tutmaz.,32,28,short
32,Atasözü,The early bird catches the worm.,Erken kalkan yol alır.,Erken kalkan yol alır.,32,22,short
33,Atasözü,Actions speak louder than words.,Lafla peynir gemisi yürümez.,Lafla peynir gemisi yurumez.,32,28,short
34,Atasözü,Don't count your chickens before they hatch.,Dereyi görmeden paçaları sıvama.,Dereyi gormeden pacaları sıvama.,44,32,medium
35,Atasözü,"When in Rome, do as the Romans do.",Roma'da Romalılar gibi davran.,Roma'da Romalılar gibi davran.,34,30,short
36,Edebi,"The sun slowly set behind the hills, painting the sky in glorious shades of orange, pink, and purple. It was a sight to behold.","Güneş yavaşça tepelerin ardında batarken gökyüzünü turuncu, pembe ve morun görkemli tonlarına boyuyordu. Görülmeye değer bir manzaraydı.","Gunes yavasca tepelerin ardında batarken gokyuzunu turuncu, pembe ve morun gorkemli tonlarına boyuyordu. Gorulmeye deger bir manzaraydı.",127,136,medium
37,Edebi,"To be, or not to be, that is the question.","Olmak ya da olmamak, işte bütün mesele bu.","Olmak ya da olmamak, iste butun mesele bu.",42,42,medium
38,Edebi,"It was the best of times, it was the worst of times.","Zamanların en iyisiydi, zamanların en kötüsüydü.","Zamanların en iyisiydi, zamanların en kotusuydu.",52,48,medium
39,Edebi,"In the heart of the ancient forest, where sunlight struggled to pierce the dense canopy, lay a hidden glade where time itself seemed to slow down.","Kadim ormanın kalbinde, güneş ışığının sık gölgeliği delmek için mücadele ettiği yerde, zamanın kendisinin yavaşladığı gizli bir açıklık uzanıyordu.","Kadim ormanın kalbinde, gunes ısıgının sık golgeligi delmek icin mucadele ettigi yerde, zamanın kendisinin yavasladıgı gizli bir acıklık uzanıyordu.",146,148,medium
40,Edebi,He was an old man who fished alone in a skiff in the Gulf Stream and he had gone eighty-four days now without taking a fish.,Gulf Stream'de tek başına bir sandalla balık tutan yaşlı bir adamdı ve seksen dört gündür tek bir balık bile yakalayamamıştı.,Gulf Stream'de tek basına bir sandalla balık tutan yaslı bir adamdı ve seksen dort gundur tek bir balık bile yakalayamamıstı.,124,125,medium
41,Zorlayıcı/Eklemeli,Are you one of those whom we couldn't make resemble a European?,Avrupalılaştıramadıklarımızdan mısınız?,Avrupalılastıramadıklarımızdan mısınız?,63,39,medium
42,Zorlayıcı/Eklemeli,Their behavior felt as if it was because of one of the things we failed to accomplish.,"Davranışları, gerçekleştiremediklerimizdenmişçesine bir his veriyordu.","Davranısları, gerceklestiremediklerimizdenmiscesine bir his veriyordu.",86,70,medium
43,Zorlayıcı/Eklemeli,It is said that he was one of the people who could not be made successful.,Başarılılaştırılamayanlardan olduğu söyleniyor.,Basarılılastırılamayanlardan oldugu soyleniyor.,74,47,medium
44,Zorlayıcı/Eklemeli,The one that is in the box on the table.,Masadaki kutunun içindeki.,Masadaki kutunun icindeki.,40,26,short
45,Zorlayıcı/Eklemeli,As if you were in our house.,Bizim evdeymişsinizcesine.,Bizim evdeymissinizcesine.,28,26,short
46,Genel/Talimat,"Please do not forget to save your changes before you exit the application, otherwise all your progress will be lost.","Lütfen uygulamadan çıkmadan önce değişikliklerinizi kaydetmeyi unutmayın, aksi takdirde tüm ilerlemeniz kaybolacaktır.","Lutfen uygulamadan cıkmadan once degisikliklerinizi kaydetmeyi unutmayın, aksi takdirde tum ilerlemeniz kaybolacaktır.",116,118,medium
47,Genel/Talimat,"For best results, cook on medium heat for 10-12 minutes.","En iyi sonuç için, orta ateşte 10-12 dakika pişirin.","En iyi sonuc icin, orta ateste 10-12 dakika pisirin.",56,52,medium
48,Genel/Talimat,Please fill out the form completely and accurately.,Lütfen formu eksiksiz ve doğru bir şekilde doldurun.,Lutfen formu eksiksiz ve dogru bir sekilde doldurun.,51,52,medium
49,Genel/Talimat,Keep out of reach of children.,Çocukların ulaşamayacağı bir yerde saklayın.,Cocukların ulasamayacagı bir yerde saklayın.,30,44,medium
50,Genel/Talimat,Read the instructions carefully before use.,Kullanmadan önce talimatları dikkatlice okuyun.,Kullanmadan once talimatları dikkatlice okuyun.,43,47,medium
51,Genel/Bilgi,"Istanbul is a transcontinental city in Eurasia, straddling the Bosphorus strait which separates Europe and Asia.","İstanbul, Avrupa ve Asya'yı ayıran İstanbul Boğazı'nı çevreleyen, Avrasya'da yer alan kıtalararası bir şehirdir.","Istanbul, Avrupa ve Asya'yı ayıran Istanbul Bogazı'nı cevreleyen, Avrasya'da yer alan kıtalararası bir sehirdir.",112,112,medium
52,Genel/Bilgi,The human brain weighs about 3 pounds (1.4 kilograms).,İnsan beyni yaklaşık 1.4 kilogram (3 pound) ağırlığındadır.,Insan beyni yaklasık 1.4 kilogram (3 pound) agırlıgındadır.,54,59,medium
53,Genel/Bilgi,The Nile is the longest river in the world.,"Nil, dünyanın en uzun nehridir.","Nil, dunyanın en uzun nehridir.",43,31,medium
54,Genel/Bilgi,Mount Everest is the Earth's highest mountain above sea level.,"Everest Dağı, Dünya'nın deniz seviyesinden en yüksek dağıdır.","Everest Dagı, Dunya'nın deniz seviyesinden en yuksek dagıdır.",62,61,medium
55,Genel/Bilgi,The decision was made by the committee.,"Karar, komite tarafından alındı.","Karar, komite tarafından alındı.",39,32,medium
56,Soru/Akademik,What are the primary ethical considerations and potential societal impacts when developing fully autonomous artificial intelligence systems?,Tamamen otonom yapay zeka sistemleri geliştirilirken dikkate alınması gereken temel etik hususlar ve potansiyel toplumsal etkiler nelerdir?,Tamamen otonom yapay zeka sistemleri gelistirilirken dikkate alınması gereken temel etik hususlar ve potansiyel toplumsal etkiler nelerdir?,140,139,medium
57,Soru/Akademik,How does quantum mechanics challenge our classical understanding of reality?,"Kuantum mekaniği, klasik gerçeklik anlayışımıza nasıl meydan okur?","Kuantum mekanigi, klasik gerceklik anlayısımıza nasıl meydan okur?",76,66,medium
58,Soru/Basit,Can you help me with this?,Bu konuda bana yardım edebilir misin?,Bu konuda bana yardım edebilir misin?,26,37,medium
59,Soru/Basit,What time is it?,Saat kaç?,Saat kac?,16,9,short
60,Soru/Basit,Where is the nearest train station?,En yakın tren istasyonu nerede?,En yakın tren istasyonu nerede?,35,31,medium
61,Kontrol/URL,"For more information, please visit the official website at https://www.example.com/about-us.",Daha fazla bilgi için lütfen https://www.example.com/hakkimizda adresindeki resmi web sitesini ziyaret edin.,Daha fazla bilgi icin lutfen https://www.example.com/hakkimizda adresindeki resmi web sitesini ziyaret edin.,92,108,medium
62,Kontrol/Tarih-Sayı,"The event is scheduled for November 3rd, 2025, at 10:30 AM and is expected to attract over 5,000 attendees.","Etkinlik 3 Kasım 2025'te, sabah 10:30'da planlanmıştır ve 5.000'den fazla katılımcı çekmesi beklenmektedir.","Etkinlik 3 Kasım 2025'te, sabah 10:30'da planlanmıstır ve 5.000'den fazla katılımcı cekmesi beklenmektedir.",107,107,medium
63,Kontrol/Liste,"The shopping list includes: apples, bread, cheese, and milk.","Alışveriş listesi şunları içerir: elma, ekmek, peynir ve süt.","Alısveris listesi sunları icerir: elma, ekmek, peynir ve sut.",60,61,medium
64,Kontrol/Noktalama-Yoğun,"Wait, what? Are you serious? I can't believe it! That's amazing... or is it?","Bir dakika, ne? Ciddi misin? İnanamıyorum! Bu harika... yoksa değil mi?","Bir dakika, ne? Ciddi misin? Inanamıyorum! Bu harika... yoksa degil mi?",76,71,medium
65,Kontrol/E-posta,You can reach us at contact-us@example.org for support.,Destek için bize contact-us@example.org adresinden ulaşabilirsiniz.,Destek icin bize contact-us@example.org adresinden ulasabilirsiniz.,55,67,medium
66,Kontrol/JSON,"The API returned the following JSON object: `{""user_id"": 123, ""status"": ""active""}`.","API şu JSON nesnesini döndürdü: `{""kullanici_id"": 123, ""durum"": ""aktif""}`.","API su JSON nesnesini dondurdu: `{""kullanici_id"": 123, ""durum"": ""aktif""}`.",83,74,medium
67,Kontrol/Sayı-Yoğun,"The final price is $1,999.99 after a 20% discount (a reduction of $500.00).","Nihai fiyat, %20'lik bir indirimden (500,00$'lık bir düşüş) sonra 1.999,99$'dır.","Nihai fiyat, %20'lik bir indirimden (500,00$'lık bir dusus) sonra 1.999,99$'dır.",75,80,medium
68,Hukuki,"The party of the first part, hereinafter referred to as 'the Licensor', agrees to grant a non-exclusive, worldwide license.","İşbu sözleşmede bundan sonra 'Lisans Veren' olarak anılacak olan birinci taraf, münhasır olmayan, dünya çapında bir lisans vermeyi kabul eder.","Isbu sozlesmede bundan sonra 'Lisans Veren' olarak anılacak olan birinci taraf, munhasır olmayan, dunya capında bir lisans vermeyi kabul eder.",123,142,medium
69,Hukuki,This agreement shall be governed by and construed in accordance with the laws of the specified jurisdiction.,"Bu sözleşme, belirtilen yargı yetkisinin yasalarına göre yönetilecek ve yorumlanacaktır.","Bu sozlesme, belirtilen yargı yetkisinin yasalarına gore yonetilecek ve yorumlanacaktır.",108,88,medium
70,Hukuki,All rights reserved. No part of this publication may be reproduced without prior written permission.,"Tüm hakları saklıdır. Bu yayının hiçbir bölümü, önceden yazılı izin alınmaksızın çoğaltılamaz.","Tum hakları saklıdır. Bu yayının hicbir bolumu, onceden yazılı izin alınmaksızın cogaltılamaz.",100,94,medium
71,Bilimsel,Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy.,"Fotosentez, bitkiler ve diğer organizmalar tarafından ışık enerjisini kimyasal enerjiye dönüştürmek için kullanılan bir işlemdir.","Fotosentez, bitkiler ve diger organizmalar tarafından ısık enerjisini kimyasal enerjiye donusturmek icin kullanılan bir islemdir.",108,129,medium
72,Bilimsel,"The theory of relativity, proposed by Albert Einstein, fundamentally changed our understanding of space and time.","Albert Einstein tarafından öne sürülen görelilik teorisi, uzay ve zaman anlayışımızı temelden değiştirmiştir.","Albert Einstein tarafından one surulen gorelilik teorisi, uzay ve zaman anlayısımızı temelden degistirmistir.",113,109,medium
73,Bilimsel,The experiment's results were inconclusive and require further investigation.,Deneyin sonuçları yetersizdi ve daha fazla araştırma gerektiriyor.,Deneyin sonucları yetersizdi ve daha fazla arastırma gerektiriyor.,77,66,medium
74,Bilimsel,DNA (Deoxyribonucleic acid) is a molecule that carries the genetic instructions for the development and functioning of all known living organisms.,"DNA (Deoksiribonükleik asit), bilinen tüm canlı organizmaların gelişimi ve işleyişi için genetik talimatları taşıyan bir moleküldür.","DNA (Deoksiribonukleik asit), bilinen tum canlı organizmaların gelisimi ve isleyisi icin genetik talimatları tasıyan bir molekuldur.",146,132,medium
75,Genel/Anlatı,"He carefully reviewed the document, checking for any errors or inconsistencies before submitting it.",Belgeyi göndermeden önce herhangi bir hata veya tutarsızlık olup olmadığını kontrol ederek dikkatlice inceledi.,Belgeyi gondermeden once herhangi bir hata veya tutarsızlık olup olmadıgını kontrol ederek dikkatlice inceledi.,100,111,medium
76,Genel/Anlatı,The old house stood on a hill overlooking the town.,"Eski ev, kasabaya bakan bir tepenin üzerinde duruyordu.","Eski ev, kasabaya bakan bir tepenin uzerinde duruyordu.",51,55,medium
77,Genel/Anlatı,She opened the window to let in some fresh air.,Biraz temiz hava girmesi için pencereyi açtı.,Biraz temiz hava girmesi icin pencereyi actı.,47,45,medium
78,Genel/Anlatı,The cat curled up by the fireplace and fell asleep.,Kedi şöminenin yanında kıvrılıp uykuya daldı.,Kedi sominenin yanında kıvrılıp uykuya daldı.,51,45,medium
79,Genel/Anlatı,"They walked along the beach, listening to the sound of the waves.",Dalgaların sesini dinleyerek sahil boyunca yürüdüler.,Dalgaların sesini dinleyerek sahil boyunca yuruduler.,65,53,medium
80,Genel/Anlatı,A sudden noise from the kitchen startled him.,Mutfaktan gelen ani bir ses onu ürküttü.,Mutfaktan gelen ani bir ses onu urkuttu.,45,40,medium
81,Diyalog/Kısa,I don't think so.,Pek sanmıyorum.,Pek sanmıyorum.,17,15,short
82,Diyalog/Kısa,Are you ready?,Hazır mısın?,Hazır mısın?,14,12,short
83,Diyalog/Kısa,See you later.,Görüşürüz.,Gorusuruz.,14,10,short
84,Diyalog/Kısa,Of course.,Elbette.,Elbette.,10,8,short
85,Diyalog/Kısa,I have no idea.,Hiçbir fikrim yok.,Hicbir fikrim yok.,15,18,short
86,Teknik/Kısa,The system is offline.,Sistem çevrimdışı.,Sistem cevrimdısı.,22,18,short
87,Teknik/Kısa,Login failed.,Giriş başarısız.,Giris basarısız.,13,16,short
88,Teknik/Kısa,File not found.,Dosya bulunamadı.,Dosya bulunamadı.,15,17,short
89,Haber/Kısa,The peace talks have failed.,Barış görüşmeleri başarısız oldu.,Barıs gorusmeleri basarısız oldu.,28,33,medium
90,Haber/Kısa,A new law was passed.,Yeni bir yasa kabul edildi.,Yeni bir yasa kabul edildi.,21,27,short
91,Kontrol/Basit,This is a simple sentence.,Bu basit bir cümledir.,Bu basit bir cumledir.,26,22,short
92,Kontrol/Basit,The sky is blue.,Gökyüzü mavidir.,Gokyuzu mavidir.,16,16,short
93,Genel/Orta,The project requires a significant investment of time and resources.,"Proje, önemli ölçüde zaman ve kaynak yatırımı gerektiriyor.","Proje, onemli olcude zaman ve kaynak yatırımı gerektiriyor.",68,59,medium
94,Genel/Orta,Her contributions to the field have been widely recognized by her peers.,"Alana yaptığı katkılar, meslektaşları tarafından geniş çapta tanınmıştır.","Alana yaptıgı katkılar, meslektasları tarafından genis capta tanınmıstır.",72,73,medium
95,Genel/Orta,"Despite the challenges, they managed to complete the task ahead of schedule.","Zorluklara rağmen, görevi zamanından önce tamamlamayı başardılar.","Zorluklara ragmen, gorevi zamanından once tamamlamayı basardılar.",76,65,medium
96,Soru/Orta,What is the difference between weather and climate?,Hava durumu ile iklim arasındaki fark nedir?,Hava durumu ile iklim arasındaki fark nedir?,51,44,medium
97,Edebi/Orta,The city was a labyrinth of narrow streets and ancient buildings.,"Şehir, dar sokaklardan ve eski binalardan oluşan bir labirentti.","Sehir, dar sokaklardan ve eski binalardan olusan bir labirentti.",65,64,medium
98,Teknik/Orta,Data compression works by finding and eliminating statistical redundancy.,"Veri sıkıştırma, istatistiksel fazlalığı bularak ve ortadan kaldırarak çalışır.","Veri sıkıstırma, istatistiksel fazlalıgı bularak ve ortadan kaldırarak calısır.",73,79,medium
99,Haber/Uzun,"Following weeks of intense debate, the parliament finally approved the controversial budget bill, which includes significant cuts to public spending but also introduces new incentives for renewable energy investments. Analysts remain divided on its long-term economic impact.","Haftalarca süren yoğun tartışmaların ardından, parlamento nihayet kamu harcamalarında önemli kesintiler içeren ancak yenilenebilir enerji yatırımları için yeni teşvikler de getiren tartışmalı bütçe yasa tasarısını onayladı. Analistler, tasarının uzun vadeli ekonomik etkisi konusunda ikiye bölünmüş durumda.","Haftalarca suren yogun tartısmaların ardından, parlamento nihayet kamu harcamalarında onemli kesintiler iceren ancak yenilenebilir enerji yatırımları icin yeni tesvikler de getiren tartısmalı butce yasa tasarısını onayladı. Analistler, tasarının uzun vadeli ekonomik etkisi konusunda ikiye bolunmus durumda.",275,307,long
100,Bilimsel/Uzun,"The James Webb Space Telescope, a successor to Hubble, is designed to see the earliest stars and galaxies that formed in the universe. Its advanced infrared optics allow it to peer through clouds of dust that obscure the view of older telescopes, providing unprecedented insights into cosmic history.","Hubble'ın halefi olan James Webb Uzay Teleskobu, evrende oluşan en eski yıldızları ve galaksileri görmek için tasarlanmıştır. Gelişmiş kızılötesi optikleri, eski teleskopların görüşünü engelleyen toz bulutlarının arasından bakmasına olanak tanıyarak kozmik tarihe dair benzeri görülmemiş bilgiler sunar.","Hubble'ın halefi olan James Webb Uzay Teleskobu, evrende olusan en eski yıldızları ve galaksileri gormek icin tasarlanmıstır. Gelismis kızılotesi optikleri, eski teleskopların gorusunu engelleyen toz bulutlarının arasından bakmasına olanak tanıyarak kozmik tarihe dair benzeri gorulmemis bilgiler sunar.",300,303,long
